Timestamp,Hour_Sin,Hour_Cos,Source,Target,Latency_ms,CPU_Usage,Mem_Usage,Users,Status
1779116763.8799193,-0.2588,-0.9659,app,self,344.47,43.19,41.66,180,OK
1779116764.1892505,-0.2588,-0.9659,svc1,self,303.19,38.97,39.31,180,OK
1779116764.511692,-0.2588,-0.9659,svc2,self,317.01,40.37,40.09,180,OK
1779116764.779737,-0.2588,-0.9659,svc3,self,261.86,34.74,36.95,180,OK
1779116764.783544,-0.2588,-0.9659,svc2,svc3,268.53,40.37,40.09,180,OK
1779116764.7879515,-0.2588,-0.9659,svc1,svc2,596.35,38.97,39.31,180,OK
1779116764.7925038,-0.2588,-0.9659,app,svc1,909.78,43.19,41.66,180,OK
1779116765.1163878,-0.2588,-0.9659,svc2,self,316.93,40.37,40.09,180,OK
1779116765.3834405,-0.2588,-0.9659,svc3,self,261.87,34.74,36.95,180,OK
1779116765.3872747,-0.2588,-0.9659,svc2,svc3,268.37,40.37,40.09,180,OK
1779116765.3910782,-0.2588,-0.9659,app,svc2,595.34,43.19,41.66,180,OK
1779116765.658401,-0.2588,-0.9659,svc3,self,261.83,34.74,36.95,180,OK
1779116765.6627128,-0.2588,-0.9659,app,svc3,269.11,43.19,41.66,180,OK
1779116766.013709,-0.2588,-0.9659,app,self,344.49,43.19,41.66,180,OK
1779116766.322494,-0.2588,-0.9659,svc1,self,303.18,38.97,39.31,180,OK
1779116766.6446905,-0.2588,-0.9659,svc2,self,316.96,40.37,40.09,180,OK
1779116766.9126348,-0.2588,-0.9659,svc3,self,261.87,34.74,36.95,180,OK
1779116766.9171035,-0.2588,-0.9659,svc2,svc3,269.39,40.37,40.09,180,OK
1779116766.9218814,-0.2588,-0.9659,svc1,svc2,597.14,38.97,39.31,180,OK
1779116766.9261446,-0.2588,-0.9659,app,svc1,910.30,43.19,41.66,180,OK
1779116767.24854,-0.2588,-0.9659,svc2,self,316.93,40.37,40.09,180,OK
1779116767.5154817,-0.2588,-0.9659,svc3,self,261.89,34.74,36.95,180,OK
1779116767.5193212,-0.2588,-0.9659,svc2,svc3,268.38,40.37,40.09,180,OK
1779116767.5232203,-0.2588,-0.9659,app,svc2,594.59,43.19,41.66,180,OK
1779116767.7897055,-0.2588,-0.9659,svc3,self,261.88,34.74,36.95,180,OK
1779116767.7943385,-0.2588,-0.9659,app,svc3,269.07,43.19,41.66,180,OK
1779116770.1458435,-0.2588,-0.9659,app,self,344.44,43.19,41.66,180,OK
1779116770.4542077,-0.2588,-0.9659,svc1,self,303.16,38.97,39.31,180,OK
1779116770.7802525,-0.2588,-0.9659,svc2,self,316.91,40.37,40.09,180,OK
1779116771.0472238,-0.2588,-0.9659,svc3,self,261.80,34.74,36.95,180,OK
1779116771.050643,-0.2588,-0.9659,svc2,svc3,268.08,40.37,40.09,180,OK
1779116771.0543501,-0.2588,-0.9659,svc1,svc2,595.13,38.97,39.31,180,OK
1779116771.0582464,-0.2588,-0.9659,app,svc1,910.00,43.19,41.66,180,OK
1779116771.3805146,-0.2588,-0.9659,svc2,self,316.91,40.37,40.09,180,OK
1779116771.6473217,-0.2588,-0.9659,svc3,self,261.81,34.74,36.95,180,OK
1779116771.6515298,-0.2588,-0.9659,svc2,svc3,268.87,40.37,40.09,180,OK
1779116771.6554563,-0.2588,-0.9659,app,svc2,594.88,43.19,41.66,180,OK
1779116771.92224,-0.2588,-0.9659,svc3,self,261.84,34.74,36.95,180,OK
1779116771.9258668,-0.2588,-0.9659,app,svc3,268.08,43.19,41.66,180,OK
1779116772.278461,-0.2588,-0.9659,app,self,344.45,43.19,41.66,180,OK
1779116772.5867932,-0.2588,-0.9659,svc1,self,303.32,38.97,39.31,180,OK
1779116772.909328,-0.2588,-0.9659,svc2,self,316.89,40.37,40.09,180,OK
1779116773.1769905,-0.2588,-0.9659,svc3,self,261.82,34.74,36.95,180,OK
1779116773.1819935,-0.2588,-0.9659,svc2,svc3,269.74,40.37,40.09,180,OK
1779116773.1859827,-0.2588,-0.9659,svc1,svc2,596.49,38.97,39.31,180,OK
1779116773.1900241,-0.2588,-0.9659,app,svc1,909.33,43.19,41.66,180,OK
1779116773.5122461,-0.2588,-0.9659,svc2,self,316.94,40.37,40.09,180,OK
